"","t-statistic","p-value","p-adj"
"1570482_at",1.19983598913056,0.232862674471986,0.261181505213634
"226809_at",-1.19204654189416,0.235815159973959,0.264299421610637
"205184_at",1.1909529773774,0.23662288558774,0.265010707999144
"205626_s_at",1.18693709699693,0.238421631009871,0.266830056342187
"204260_at",1.18451406177434,0.239374855803652,0.267701171830088
"221728_x_at",1.18093932287201,0.240457103276914,0.268715200815296
"230127_at",1.17715087907553,0.242115803779467,0.270371477451761
"224589_at",1.17429648850264,0.242991577697226,0.271151680360389
"239579_at",-1.16835575725841,0.244900338322229,0.273082605951444
"207397_s_at",-1.16737608605683,0.245290801157045,0.273120157506499
"229725_at",-1.1684002333845,0.245143352703662,0.273120157506499
"205048_s_at",1.16525027520422,0.246612018159824,0.274391714972885
"214218_s_at",1.16323606646319,0.24748362652363,0.275161533919882
"235075_at",1.16191437316773,0.247787209987534,0.275299142591375
"226926_at",-1.16048285358677,0.248560892787923,0.275958467627491
"206502_s_at",-1.15896092948388,0.24881475228785,0.276040134603404
"241824_at",1.15135913780072,0.252581018946912,0.280015597398785
"44790_s_at",-1.14264036119002,0.255515725196907,0.28306409209585
"205844_at",-1.129620977921,0.260908255761854,0.288829023551264
"1558686_at",1.1276856114412,0.26177678301417,0.289581108955704
"216255_s_at",-1.1172448120175,0.266485812269115,0.294577457461383
"210675_s_at",1.11645813483156,0.267025833649744,0.294961436737199
"220065_at",-1.09260330239581,0.276597821340489,0.305314538191989
"229839_at",-1.08052521972156,0.282427813954719,0.311525204009132
"238755_at",1.07857466861382,0.283626185277181,0.312621806810198
"228988_at",1.07344860065812,0.285170747487667,0.314098139858718
"232321_at",-1.04512387225882,0.298118486394107,0.328123222623564
"209811_at",-1.041309880249,0.300171941021993,0.330146006971746
"216733_s_at",1.02978854676416,0.30509827973009,0.335323378511678
"228462_at",1.00299720950578,0.317878648799945,0.349119233366367
"209591_s_at",0.993748513937738,0.322707364517597,0.354168440915012
"205595_at",0.985958468586951,0.326270630672425,0.357822589942322
"204273_at",0.982726045695248,0.327896434104858,0.359348203732669
"244482_at",-0.970469662159506,0.334008493336766,0.365784694777245
"1565358_at",-0.956444270731809,0.340711123529352,0.37285827742919
"202888_s_at",0.928867100405897,0.354700804414196,0.387890665398667
"219140_s_at",0.923676203861704,0.357343121889205,0.390501298795413
"229309_at",-0.920744803462901,0.359077572824349,0.392116807413751
"235057_at",0.91350688243493,0.363245269765198,0.396385251611204
"220051_at",-0.911318088579765,0.363834456683672,0.396745408249788
"232068_s_at",0.899626524679544,0.370156176817944,0.403351677372436
"209869_at",0.887075659200855,0.376665819105271,0.410153178556309
