"ID","statistic","p_value","p_adjust"
"208782_at",-19.1338099833555,3.50246124293118e-39,2.05387919553426e-36
"226237_at",-19.1363864296569,4.77264947596319e-39,2.72876233788196e-36
"209118_s_at",-18.965077437094,5.449771034725e-39,3.03990886741855e-36
"200974_at",-18.9558006673122,5.68025544080639e-39,3.09303433169624e-36
"217763_s_at",-18.9751342342344,6.49988514960019e-39,3.45703193886875e-36
"201426_s_at",-19.055352764555,6.75007748983397e-39,3.50850618619325e-36
"212067_s_at",-19.1006437125561,7.08334465815991e-39,3.59991316293594e-36
"210517_s_at",-19.0757557948103,7.80655602616035e-39,3.88121600691929e-36
"221748_s_at",-19.4256678521493,9.10988086736661e-39,4.43282926461009e-36
"228640_at",-18.9072337493168,9.53881912938355e-39,4.5448498643542e-36
"217762_s_at",-18.8407166510827,1.14382742605309e-38,5.33863943547638e-36
"204620_s_at",-18.8021629800817,1.38443507382858e-38,6.33240602769192e-36
"215646_s_at",-18.7168257503605,1.88224081363898e-38,8.3910007520267e-36
"227061_at",-21.5520668551061,1.90787948887358e-38,8.3910007520267e-36
"209335_at",-18.6834124383786,2.72461844403834e-38,1.17569856255013e-35
"213413_at",-20.1531195179295,3.05800374296649e-38,1.29512121484525e-35
"1555630_a_at",-18.6998860896327,3.31934212819263e-38,1.38024280857755e-35
"209209_s_at",-19.852079695681,3.90513929911168e-38,1.59483099590507e-35
"203300_x_at",-19.8469546767132,4.73102620467869e-38,1.89822051405266e-35
"201147_s_at",-18.7300242977503,5.52183733862657e-38,2.17731758507568e-35
"211571_s_at",-18.5424264018573,6.72750055524106e-38,2.60776165590446e-35
"212298_at",-18.5266548406316,8.35046390876085e-38,3.18291849322268e-35
"225265_at",-18.8156631146215,8.53675484271684e-38,3.20058333201531e-35
"216321_s_at",-18.4791964759675,8.90616094888018e-38,3.28522420807887e-35
"202995_s_at",-18.4348325984034,1.55570809578264e-37,5.64746732548396e-35
"204619_s_at",-18.3006382497697,1.62766518887757e-37,5.75942259803817e-35
"212077_at",-18.6095835804644,1.66209834486454e-37,5.75942259803817e-35
"219489_s_at",-19.0470127198066,1.63792657639658e-37,5.75942259803817e-35
"224710_at",-18.3520037182128,1.83825164465551e-37,6.2747485243689e-35
"212636_at",-18.3373517082872,2.19066883642105e-37,7.3677347483749e-35
"212158_at",-18.2455414939962,2.35488603917761e-37,7.80525271246259e-35
"230264_s_at",-18.9120434502212,2.44922547892369e-37,8.00196952899782e-35
"213429_at",-18.4616111555845,2.62009948925455e-37,8.43967258017626e-35
"201842_s_at",-18.1990162794311,2.66324711547304e-37,8.45950854595396e-35
"225651_at",-18.1929561454222,2.91161777495718e-37,9.12173952236584e-35
"211813_x_at",-18.1876403725988,2.96206333883268e-37,9.15437683231127e-35
"211597_s_at",-18.2563614820668,3.03405528314941e-37,9.25184591008361e-35
"211067_s_at",-18.8476800038718,3.30609699918797e-37,9.94874189097749e-35
"203083_at",-18.2313849424152,3.56095598800619e-37,1.0576501746195e-34
"221731_x_at",-18.2015558231601,3.68661563693342e-37,1.08093461047009e-34
"213125_at",-19.0253884198314,4.06948736865586e-37,1.1780908369767e-34
"209550_at",-18.3823491816484,4.3327398177911e-37,1.23862199541103e-34
"201141_at",-18.1172522902431,5.63719109926818e-37,1.59163654864522e-34
"226066_at",-18.8816572328348,6.23928193858672e-37,1.74015095043266e-34
"226751_at",-19.3993919358924,6.95562793600247e-37,1.91656880598044e-34
"201893_x_at",-18.225116633242,7.20859543813398e-37,1.93953620788381e-34
"226834_at",-18.5278096721999,7.1680300209995e-37,1.93953620788381e-34
"208131_s_at",-20.9520940340407,7.64765240759904e-37,2.03374198327663e-34
"208789_at",-18.2524912621928,8.33646053117681e-37,2.19143508445993e-34
"203817_at",-18.067748340306,9.51420427243824e-37,2.47261195125753e-34
"211896_s_at",-18.1029303766077,1.05797980526039e-36,2.71865147711293e-34
"201616_s_at",-17.9196013823344,1.16980528086605e-36,2.97260519704518e-34
"201150_s_at",-17.9022556380716,1.25110204077179e-36,3.14425315081879e-34
"218656_s_at",-17.949107993832,1.32257219347247e-36,3.28774196355602e-34
"200788_s_at",-18.7019711118416,1.49084857554983e-36,3.62720286413028e-34
"224694_at",-17.8903388124268,1.48661560977515e-36,3.62720286413028e-34
"201617_x_at",-17.8532463094202,1.58319332621222e-36,3.81132961794458e-34
"211671_s_at",-17.9447289236906,1.88205056208035e-36,4.48359337028934e-34
"212667_at",-18.00054772673,2.10360017118719e-36,4.95972535206713e-34
"222670_s_at",-19.1212214022513,2.35658646574118e-36,5.49950331341844e-34
"225968_at",-19.5439503010426,2.66584893005591e-36,6.15838030609886e-34
"209191_at",-17.722799617328,3.26330056453762e-36,7.46316839109753e-34
"212154_at",-17.6826627228668,4.33156799202696e-36,9.80821385917393e-34
"238623_at",-19.834640741447,4.40116409694232e-36,9.86810028402656e-34
"201058_s_at",-18.5998072096312,4.5284828694695e-36,1.00549906043464e-33
"227566_at",-17.7357375265283,4.97524820784213e-36,1.09407621647451e-33
"206580_s_at",-19.0642228267277,5.91642094186484e-36,1.28865282800427e-33
"238478_at",-21.0332321930789,6.79851769885418e-36,1.4668122620075e-33
"203417_at",-17.6476074638064,9.89177104991252e-36,2.11425050384579e-33
"212262_at",-18.0821323722536,1.07243489948311e-35,2.27098019918322e-33
"209621_s_at",-18.7662746008383,1.19381880850551e-35,2.50482900463495e-33
"213905_x_at",-17.4478288300805,1.36649039980248e-35,2.84105776758934e-33
"205168_at",-19.5888932194353,1.95890054968229e-35,4.0360410424535e-33
