"","Term","Odds_ratio","p.value","p_adj"
"7381","GO_REGULATION_OF_NMDA_RECEPTOR_ACTIVITY","8.22812314413094","0.000206675310674405",0.0102548894489701
"9147","GO_GLUCURONOSYLTRANSFERASE_ACTIVITY","8.22812314413094","0.000206675310674405",0.0102548894489701
"622","GO_FRUCTOSE_6_PHOSPHATE_METABOLIC_PROCESS","17.5945682650458","0.000218858806271696",0.0103544216983372
"661","GO_SUCCINATE_METABOLIC_PROCESS","17.5945682650458","0.000218858806271696",0.0103544216983372
"691","GO_DNA_DEPENDENT_DNA_REPLICATION","0.137597698932282","0.000219770609506134",0.0103544216983372
"756","GO_RNA_EXPORT_FROM_NUCLEUS","0.0806225703206299","0.000211240967105655",0.0103544216983372
"1031","GO_MITOTIC_CELL_CYCLE_CHECKPOINT","0.139471520432099","0.000213188599025188",0.0103544216983372
"1182","GO_MECHANOSENSORY_BEHAVIOR","17.5945682650458","0.000218858806271696",0.0103544216983372
"2393","GO_MRNA_3_END_PROCESSING","0","0.000214932244447138",0.0103544216983372
"3940","GO_REGULATION_OF_INNER_EAR_AUDITORY_RECEPTOR_CELL_DIFFERENTIATION","17.5945682650458","0.000218858806271696",0.0103544216983372
"7291","GO_DENSE_CORE_GRANULE_EXOCYTOSIS","17.5945682650458","0.000218858806271696",0.0103544216983372
"8315","GO_CYTOCHROME_COMPLEX","5.60821812506902","0.000217088334083128",0.0103544216983372
"8929","GO_VOLUME_SENSITIVE_ANION_CHANNEL_ACTIVITY","17.5945682650458","0.000218858806271696",0.0103544216983372
"2223","GO_MYELOID_CELL_DIFFERENTIATION","0.272442613995273","0.000227989879096063",0.0106926212246377
"2413","GO_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS","0.638272833067525","0.000236111213807315",0.0110231739864315
"259","GO_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DIFFERENTIATION","2.76353134158706","0.000240184787355746",0.0111626151625831
"3615","GO_NEGATIVE_REGULATION_OF_POTASSIUM_ION_TRANSPORT","10.5707839537385","0.000246565620518555",0.0113563923244219
"6595","GO_NEGATIVE_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORT","10.5707839537385","0.000246565620518555",0.0113563923244219
"2083","GO_VESTIBULOCOCHLEAR_NERVE_DEVELOPMENT","42.2514802768416","0.000262986989092296",0.0117440841955086
"4306","GO_POSITIVE_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY","42.2514802768416","0.000262986989092296",0.0117440841955086
"6535","GO_POSITIVE_REGULATION_OF_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY","42.2514802768416","0.000262986989092296",0.0117440841955086
